season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,updated_at,resume_score
2009,126,Illinois State,NA,1142.5,2,1,3,0.667,2-1,Missouri State,981.4,1062,2026-05-21T03:43:14Z,1800.8
2009,127,Stony Brook,NA,1141.8,2,1,3,0.667,2-1,Liberty,1342,1142.5,2026-05-21T03:43:14Z,2326.8
2009,128,Tulane,C-USA,1134.9,3,9,12,0.25,3-9,McNeese State,1451.3,1517.4,2026-05-21T03:43:14Z,3918.5
2009,129,Toledo,MAC,1123.9,5,6,11,0.455,5-6,N Illinois,1406.1,1276.8,2026-05-21T03:43:14Z,5055.7
2009,130,Old Dominion,Sun Belt,1111.7,9,2,11,0.818,9-2,NC Central,891.2,448.7,2026-05-21T03:43:14Z,3372.7
2009,131,Elon,NA,1105.3,1,2,3,0.333,1-2,Ga Southern,929.7,1395.8,2026-05-21T03:43:14Z,929.7
2009,132,UMass,Independent,1100.6,5,6,11,0.455,5-6,Stony Brook,1141.8,1142.4,2026-05-21T03:43:14Z,3994
2009,133,Akron,MAC,1098.8,3,9,12,0.25,3-9,Kent State,1254.4,1328.7,2026-05-21T03:43:14Z,2038.9
2009,134,Arkansas State,Sun Belt,1075.6,4,7,11,0.364,4-7,FIU,992.2,1251.2,2026-05-21T03:43:14Z,2568.8
2009,135,Rice,C-USA,1073.6,2,10,12,0.167,2-10,UTEP,1287.2,1540,2026-05-21T03:43:14Z,2422.1
2009,136,Washington St,Pac-12,1069.2,1,11,12,0.083,1-11,SMU,1662,1720.1,2026-05-21T03:43:14Z,1662
2009,137,Towson,NA,1068.5,1,3,4,0.25,1-3,Coast Carolina,984.8,1370.2,2026-05-21T03:43:14Z,984.8
2009,138,SF Austin,NA,1062.3,1,2,3,0.333,1-2,Sam Houston,926.9,1270,2026-05-21T03:43:14Z,926.9
2009,139,Colorado St,Mountain West,1053.6,2,9,11,0.182,2-9,Nevada,1565.5,1510.9,2026-05-21T03:43:14Z,2560.7
2009,140,Miami (OH),MAC,1017.1,1,10,11,0.091,1-10,Toledo,1123.9,1586.7,2026-05-21T03:43:14Z,1123.9
2009,141,Cent Arkansas,NA,999.3,1,3,4,0.25,1-3,W Kentucky,571.7,1037.9,2026-05-21T03:43:14Z,571.7
2009,142,Weber State,NA,995.2,1,2,3,0.333,1-2,Sacramento St,641.8,1046.8,2026-05-21T03:43:14Z,641.8
2009,143,E Washington,NA,994.3,1,1,2,0.5,1-1,Sacramento St,641.8,1166.9,2026-05-21T03:43:14Z,641.8
2009,144,FIU,NA,992.2,3,9,12,0.25,3-9,Louisiana,1187.3,1443.2,2026-05-21T03:43:14Z,2588
2009,145,Coast Carolina,NA,984.8,5,6,11,0.455,5-6,Monmouth,959.2,1024.6,2026-05-21T03:43:14Z,3341.6
2009,146,Missouri State,NA,981.4,6,5,11,0.545,6-5,W Illinois,900.9,1038.5,2026-05-21T03:43:14Z,4198.5
2009,147,San Jose State,Mountain West,959.6,2,9,11,0.182,2-9,New Mexico St,885.1,1504,2026-05-21T03:43:14Z,1729.6
2009,148,Monmouth,NA,959.2,1,1,2,0.5,1-1,Old Dominion,1111.7,1048.2,2026-05-21T03:43:14Z,1111.7
2009,149,UNH,NA,941,1,1,2,0.5,1-1,Ball State,697.3,898.9,2026-05-21T03:43:14Z,697.3
2009,150,Montana State,NA,931.1,1,1,2,0.5,1-1,Sacramento St,641.8,1135.8,2026-05-21T03:43:14Z,641.8
2009,151,Ga Southern,NA,929.7,5,6,11,0.455,5-6,Wofford,924.9,1078.9,2026-05-21T03:43:14Z,3338.7
2009,152,Sam Houston,Independent,926.9,5,6,11,0.455,5-6,Cent Arkansas,999.3,978.1,2026-05-21T03:43:14Z,3495.8
2009,153,Wofford,NA,924.9,0,4,4,0,0-4,NA,NA,1569,2026-05-21T03:43:14Z,NA
2009,154,W Illinois,NA,900.9,1,3,4,0.25,1-3,Sam Houston,926.9,1033.4,2026-05-21T03:43:14Z,926.9
2009,155,NC Central,NA,891.2,0,4,4,0,0-4,NA,NA,1395.8,2026-05-21T03:43:14Z,NA
2009,156,New Mexico St,WAC,885.1,3,10,13,0.231,3-10,Utah State,1266.3,1344.6,2026-05-21T03:43:14Z,2319.9
2009,157,New Mexico,Mountain West,873.2,1,11,12,0.083,1-11,Colorado St,1053.6,1557.9,2026-05-21T03:43:14Z,1053.6
2009,158,Youngstown St,NA,853,1,2,3,0.333,1-2,North Dakota St,819.4,1268.9,2026-05-21T03:43:14Z,819.4
2009,159,Cal Poly,NA,844.5,1,2,3,0.333,1-2,Sacramento St,641.8,1037.9,2026-05-21T03:43:14Z,641.8
2009,160,North Texas,NA,829,2,10,12,0.167,2-10,Ball State,697.3,1294.5,2026-05-21T03:43:14Z,1269
2009,161,Northwestern St,NA,825.1,0,4,4,0,0-4,NA,NA,1301.6,2026-05-21T03:43:14Z,NA
2009,162,North Dakota St,NA,819.4,3,8,11,0.273,3-8,W Illinois,900.9,1010.1,2026-05-21T03:43:14Z,1545.9
2009,163,Gardner-Webb,NA,818,0,4,4,0,0-4,NA,NA,1268.9,2026-05-21T03:43:14Z,NA
2009,164,VMI,NA,757.7,0,5,5,0,0-5,NA,NA,1213.5,2026-05-21T03:43:14Z,NA
2009,165,S Carolina St,NA,718.1,0,2,2,0,0-2,NA,NA,1709.6,2026-05-21T03:43:14Z,NA
2009,166,Ball State,MAC,697.3,1,9,10,0.1,1-9,E Michigan,608.9,1240.9,2026-05-21T03:43:14Z,608.9
2009,167,Delaware State,NA,683.9,0,2,2,0,0-2,NA,NA,1358.5,2026-05-21T03:43:14Z,NA
2009,168,Alcorn State,NA,681.8,0,2,2,0,0-2,NA,NA,1618.6,2026-05-21T03:43:14Z,NA
2009,169,Nicholls State,NA,681.4,0,5,5,0,0-5,NA,NA,1258.9,2026-05-21T03:43:14Z,NA
2009,170,Montana,NA,680.9,1,0,1,1,1-0,Sacramento St,641.8,641.8,2026-05-21T03:43:14Z,641.8
2009,171,SE Missouri St,NA,676.4,0,2,2,0,0-2,NA,NA,1669,2026-05-21T03:43:14Z,NA
2009,172,E Kentucky,NA,672.7,0,3,3,0,0-3,NA,NA,1409.1,2026-05-21T03:43:14Z,NA
