season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at,resume_score
2017,220,Jackson State,FCS,179.5,0,1,1,0,0-1,NA,NA,1996.1,NA,2026-05-24T09:10:53Z,NA
2017,221,Miss Valley St,FCS,179.5,0,1,1,0,0-1,NA,NA,1754.7,NA,2026-05-24T09:10:53Z,NA
2017,222,Hampton,FCS,179.4,0,1,1,0,0-1,NA,NA,1554.1,NA,2026-05-24T09:10:53Z,NA
2017,223,Cent Conn St,FCS,179.1,0,1,1,0,0-1,NA,NA,1469.1,NA,2026-05-24T09:10:53Z,NA
2017,224,Florida A&M,FCS,179,0,1,1,0,0-1,NA,NA,1408.5,NA,2026-05-24T09:10:53Z,NA
2017,225,Savannah State,FCS,179,0,1,1,0,0-1,NA,NA,1632.1,NA,2026-05-24T09:10:53Z,NA
2017,226,Wagner,FCS,179,0,1,1,0,0-1,NA,NA,1316.6,NA,2026-05-24T09:10:53Z,NA
2017,227,VMI,FCS,178.4,0,1,1,0,0-1,NA,NA,1340.3,NA,2026-05-24T09:10:53Z,NA
2017,228,Cornell,FCS,177.4,0,1,1,0,0-1,NA,NA,1037.8,NA,2026-05-24T09:10:53Z,NA
2017,229,Morehead State,FCS,177.2,0,1,1,0,0-1,NA,NA,1025.3,NA,2026-05-24T09:10:53Z,NA
2017,230,Morgan State,FCS,176.3,0,1,1,0,0-1,NA,NA,1377.4,NA,2026-05-24T09:10:53Z,NA
