season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at,resume_score,pr,baseline_elo,baseline_date,elo_change
2026,89,Temple,AAC,782.1,1,3,4,0.25,1-3,Rhode Island,171.8,814.4,NA,2026-09-26T11:31:45Z,0,340.4,647.2,2026-09-20,134.9
2026,90,SMU,ACC,779.5,2,1,3,0.667,2-1,Florida St,722.6,620,NA,2026-09-26T11:31:45Z,0,611.4,777,2026-09-22,2.5
2026,91,San Diego St,Pac-12,776.9,1,2,3,0.333,1-2,Portland St,363.8,1030.1,NA,2026-09-26T11:31:45Z,0,401.6,768.9,2026-09-20,8
2026,92,UConn,Independent,767,2,1,3,0.667,2-1,Southern Miss,458.8,523.3,NA,2026-09-26T11:31:45Z,0,601.5,766.9,2026-09-26,0.1
2026,93,Georgia St,Sun Belt,752.7,2,1,3,0.667,2-1,Kennesaw St,463.5,529.1,NA,2026-09-26T11:31:45Z,0,590.3,752,2026-09-26,0.7
2026,94,Sacramento St,MAC,744.2,1,3,4,0.25,1-3,Miss Valley St,162.3,1032.8,NA,2026-09-26T11:31:45Z,0,323.9,457,2026-09-20,287.2
2026,95,Arizona St,Big 12,743.6,2,1,3,0.667,2-1,Kansas,547.2,534.5,NA,2026-09-26T11:31:45Z,0,583.2,746.3,2026-09-20,-2.7
2026,96,GA Southern,Sun Belt,742,1,2,3,0.333,1-2,Charleston So,144.4,832.2,NA,2026-09-26T11:31:45Z,0,383.6,615.4,2026-09-20,126.6
2026,97,Sam Houston,C-USA,735.9,1,2,3,0.333,1-2,Nicholls,366.5,791.6,NA,2026-09-26T11:31:45Z,0,380.4,568.9,2026-09-20,167
2026,98,East Carolina,AAC,728.6,1,2,3,0.333,1-2,Old Dominion,646,984.5,NA,2026-09-26T11:31:45Z,0,376.7,728.1,2026-09-26,0.5
2026,99,Florida St,ACC,722.6,1,2,3,0.333,1-2,New Mexico St,458.2,834.4,NA,2026-09-26T11:31:45Z,0,373.6,820.2,2026-09-20,-97.6
2026,100,North Texas,AAC,722.6,1,2,3,0.333,1-2,UNLV,586.4,1020.6,NA,2026-09-26T11:31:45Z,0,373.6,665.8,2026-09-26,56.8
2026,101,Stanford,ACC,719.2,1,2,3,0.333,1-2,Hawai'i,524.5,985.8,NA,2026-09-26T11:31:45Z,0,371.8,775.5,2026-09-20,-56.3
2026,102,C Michigan,MAC,700.6,2,1,3,0.667,2-1,Wyoming,431.3,498.8,NA,2026-09-26T11:31:45Z,0,549.5,772.6,2026-09-20,-72
2026,103,FIU,C-USA,698.5,1,2,3,0.333,1-2,Buffalo,479.7,844.2,NA,2026-09-26T11:31:45Z,0,361.1,786.4,2026-09-20,-87.9
2026,104,Ohio,MAC,697.3,1,2,3,0.333,1-2,Jax State,1153.6,1033.1,NA,2026-09-26T11:31:45Z,0,360.5,695.9,2026-09-26,1.4
2026,105,Syracuse,ACC,694.7,1,2,3,0.333,1-2,New Hampshire,130.8,771,NA,2026-09-26T11:31:45Z,0,359.1,633.4,2026-09-26,61.3
2026,106,Colorado,Big 12,693.3,2,1,3,0.667,2-1,Georgia Tech,630.6,606.4,NA,2026-09-26T11:31:45Z,0,543.7,699,2026-09-25,-5.7
2026,107,Washington St,Pac-12,688.1,1,2,3,0.333,1-2,Duquesne,327,834.7,NA,2026-09-26T11:31:45Z,0,355.7,688.1,2026-09-21,0
2026,108,Purdue,Big Ten,674.6,1,2,3,0.333,1-2,Indiana St,138.2,786,NA,2026-09-26T11:31:45Z,0,348.7,651.8,2026-09-26,22.8
2026,109,Navy,AAC,657,1,2,3,0.333,1-2,Towson,374.7,717.8,NA,2026-09-26T11:31:45Z,0,339.7,676.1,2026-09-20,-19.1
