season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,updated_at
2014,346,McMurry,NA,991.2,1,1,2,0.5,1-1,UTSA,1203.4,1325.6,2026-05-21T00:59:23Z
2014,347,Howard,Mid-Eastern Athletic Conference,972.5,8,25,33,0.242,8-25,FAMU,1159.1,1325.8,2026-05-21T00:59:23Z
2014,348,Hou Christian,Southland Conference,969.4,6,25,31,0.194,6-25,N'Western St,1525.5,1411.4,2026-05-21T00:59:23Z
2014,349,Central Penn,NA,965.3,0,4,4,0,0-4,NA,NA,1566.3,2026-05-21T00:59:23Z
2014,350,Binghamton,America East Conference,958.6,7,23,30,0.233,7-23,Bryant,1563.8,1330.7,2026-05-21T00:59:23Z
2014,351,The Citadel,Southern Conference,945,7,26,33,0.212,7-26,UNC Greensboro,1265.5,1309.2,2026-05-21T00:59:23Z
2014,352,Maine,America East Conference,944,6,23,29,0.207,6-23,MTSU,1829.2,1363.6,2026-05-21T00:59:23Z
2014,353,Stillman,NA,927.3,0,4,4,0,0-4,NA,NA,1507.6,2026-05-21T00:59:23Z
2014,354,New Hampshire,America East Conference,925,6,24,30,0.2,6-24,Stony Brook,1571,1303.9,2026-05-21T00:59:23Z
2014,355,Bethune,Mid-Eastern Athletic Conference,913.4,7,25,32,0.219,7-25,FAMU,1159.1,1282.2,2026-05-21T00:59:23Z
2014,356,Presbyterian,Big South Conference,913.4,6,26,32,0.188,6-26,UNC Asheville,1395.6,1309,2026-05-21T00:59:23Z
2014,357,Northwood,NA,913.3,0,4,4,0,0-4,NA,NA,1410.1,2026-05-21T00:59:23Z
2014,358,SD Christian,NA,884.6,0,8,8,0,0-8,NA,NA,1689.1,2026-05-21T00:59:23Z
2014,359,Joh. & Wales NC,NA,871.1,0,5,5,0,0-5,NA,NA,1525.6,2026-05-21T00:59:23Z
2014,360,Nova SE,NA,870.7,1,0,1,1,1-0,FIU,1369.8,1369.8,2026-05-21T00:59:23Z
2014,361,Evergreen State,NA,868.4,0,4,4,0,0-4,NA,NA,1531.8,2026-05-21T00:59:23Z
