season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at
2011,252,NC A&T,Mid-Eastern Athletic Conference,1418,15,17,32,0.469,15-17,Hampton,1646.3,1442.3,NA,2026-06-04T06:05:33Z
2011,253,Appalachian St,Southern Conference,1417.8,16,15,31,0.516,16-15,Charleston,1727.5,1506.1,NA,2026-06-04T06:05:33Z
2011,254,Brown,Ivy League,1411.9,11,17,28,0.393,11-17,Princeton,1717.6,1470.7,NA,2026-06-04T06:05:33Z
2011,255,St. Thomas (TX),NA,1411.6,1,4,5,0.2,1-4,New Orleans,1544.7,1525.6,NA,2026-06-04T06:05:33Z
2011,256,W New Mexico,NA,1409,0,4,4,0,0-4,NA,NA,1651.6,NA,2026-06-04T06:05:33Z
2011,257,San Francisco,West Coast Conference,1408.3,19,15,34,0.559,19-15,Gonzaga,1729.5,1562.7,NA,2026-06-04T06:05:33Z
2011,258,Charleston So,NA,1406.6,16,16,32,0.5,16-16,UNC Asheville,1600.8,1477.2,NA,2026-06-04T06:05:33Z
2011,259,Columbia,Ivy League,1405.5,15,13,28,0.536,15-13,Bryant,1601.5,1492.6,NA,2026-06-04T06:05:33Z
2011,260,Campbell,ASUN Conference,1403.8,12,19,31,0.387,12-19,SC Upstate,1563.1,1452,NA,2026-06-04T06:05:33Z
2011,261,Carver College,NA,1400.1,0,5,5,0,0-5,NA,NA,1384.8,NA,2026-06-04T06:05:33Z
2011,262,Albany,America East Conference,1399.1,16,16,32,0.5,16-16,Niagara,1624.1,1441.1,NA,2026-06-04T06:05:33Z
2011,263,Kansas City,Summit League,1398,16,14,30,0.533,16-14,S Dakota St,1707.8,1499.5,NA,2026-06-04T06:05:33Z
2011,264,Georgia Tech,Atlantic Coast Conference,1396.8,13,18,31,0.419,13-18,North Carolina,1826.2,1603.2,NA,2026-06-04T06:05:33Z
2011,265,Texas Southern,Southwestern Athletic Conference,1394,19,13,32,0.594,19-13,Grambling,1608.4,1387.8,NA,2026-06-04T06:05:33Z
2011,266,Tulane,Conference USA,1393.5,13,17,30,0.433,13-17,Southern,1576.1,1550.8,NA,2026-06-04T06:05:33Z
2011,267,UNC Wilmington,Colonial Athletic Association,1387.7,13,18,31,0.419,13-18,Morehead St,1678.8,1527,NA,2026-06-04T06:05:33Z
2011,268,N'Western St,NA,1386.1,18,14,32,0.562,18-14,McNeese,1615.6,1447.4,NA,2026-06-04T06:05:33Z
2011,269,S Illinois,Missouri Valley Conference,1384.3,13,19,32,0.406,13-19,Wichita St,1826.8,1576.7,NA,2026-06-04T06:05:33Z
2011,270,Louisiana,Sun Belt Conference,1383.2,14,15,29,0.483,14-15,Troy,1657.8,1467,NA,2026-06-04T06:05:33Z
2011,271,South Dakota,NA,1383.2,18,15,33,0.545,18-15,SIUE,1598.9,1383.6,NA,2026-06-04T06:05:33Z
2011,272,UC Riverside,Big West Conference,1382.7,12,19,31,0.387,12-19,CSU Northridge,1644.4,1475.5,NA,2026-06-04T06:05:33Z
2011,273,Saint Peter's,Metro Atlantic Athletic Conference,1381.1,20,14,34,0.588,20-14,Long Island,1744,1536.4,NA,2026-06-04T06:05:33Z
2011,274,Siena,Metro Atlantic Athletic Conference,1380.1,13,18,31,0.419,13-18,Iona,1742.2,1563.4,NA,2026-06-04T06:05:33Z
2011,275,LA Christian,NA,1375,1,4,5,0.2,1-4,New Orleans,1544.7,1504.2,NA,2026-06-04T06:05:33Z
2011,276,Houston,Conference USA,1374.1,12,18,30,0.4,12-18,UCF,1719,1536,NA,2026-06-04T06:05:33Z
2011,277,Milligan,NA,1367.7,0,4,4,0,0-4,NA,NA,1460.6,NA,2026-06-04T06:05:33Z
2011,278,Montreat ,NA,1357.3,0,6,6,0,0-6,NA,NA,1498.1,NA,2026-06-04T06:05:33Z
2011,279,NC Central,NA,1356.6,15,15,30,0.5,15-15,MD-Eastern,1554.5,1365.7,NA,2026-06-04T06:05:33Z
2011,280,Mayville St,NA,1355.2,0,4,4,0,0-4,NA,NA,1489.9,NA,2026-06-04T06:05:33Z
2011,281,Illinois St,Missouri Valley Conference,1355.1,12,19,31,0.387,12-19,SIUE,1598.9,1523.4,NA,2026-06-04T06:05:33Z
2011,282,Panhandle St,NA,1352.8,0,4,4,0,0-4,NA,NA,1449.2,NA,2026-06-04T06:05:33Z
2011,283,W Carolina,Southern Conference,1341.9,18,15,33,0.545,18-15,Charleston,1727.5,1479.6,NA,2026-06-04T06:05:33Z
2011,284,Georgia St,Colonial Athletic Association,1339.5,12,19,31,0.387,12-19,VCU,1765.7,1553.1,NA,2026-06-04T06:05:33Z
2011,285,St Francis BK,Northeast Conference,1338.8,15,15,30,0.5,15-15,Robert Morris,1666.6,1455.3,NA,2026-06-04T06:05:33Z
2011,286,AR-Pine Bluff,Southwestern Athletic Conference,1338.3,7,24,31,0.226,7-24,Grambling,1608.4,1384.9,NA,2026-06-04T06:05:33Z
2011,287,Morgan St,Mid-Eastern Athletic Conference,1334.4,17,14,31,0.548,17-14,Robert Morris,1666.6,1450.9,NA,2026-06-04T06:05:33Z
2011,288,Alabama A&M,Southwestern Athletic Conference,1334,13,15,28,0.464,13-15,Grambling,1608.4,1330.7,NA,2026-06-04T06:05:33Z
