season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,updated_at,draws,country
2009,99,Lokeren,Pro League,1527,13,9,22,0.591,13-9,Anderlecht,1840.4,1477.1,2026-05-20T21:13:26Z,12,BEL
2009,100,Germinal,Pro League,1525.3,11,14,25,0.44,11-14,Gent,1675.5,1517.5,2026-05-20T21:13:26Z,9,BEL
2009,101,Angers,Ligue 2,1523.8,13,11,24,0.542,13-11,Metz,1628.2,1506.5,2026-05-20T21:13:26Z,14,FRA
2009,102,Mallorca,La Liga,1523.2,14,15,29,0.483,14-15,Barcelona,1894.5,1497.9,2026-05-20T21:13:26Z,9,ESP
2009,103,Westerlo,Pro League,1517.8,15,12,27,0.556,15-12,Gent,1675.5,1502.6,2026-05-20T21:13:26Z,7,BEL
2009,104,Sassuolo,Serie B,1517.3,15,12,27,0.556,15-12,Bari,1734.3,1494.1,2026-05-20T21:13:26Z,15,ITA
2009,105,Cordoba,La Liga 2,1517.1,14,17,31,0.452,14-17,Zaragoza,1752.6,1527.8,2026-05-20T21:13:26Z,11,ESP
2009,106,Schalke 04,2. Bundesliga,1517,14,12,26,0.538,14-12,Bayern Munich,1730,1474,2026-05-20T21:13:26Z,8,GER
2009,107,Leixoes,Primeira Liga,1512.9,12,9,21,0.571,12-9,Porto,1964.5,1523.5,2026-05-20T21:13:26Z,9,POR
2009,108,Sedan,Ligue 2,1507.8,13,13,26,0.5,13-13,Metz,1628.2,1504.5,2026-05-20T21:13:26Z,12,FRA
2009,109,Mechelen,Pro League,1504.7,12,12,24,0.5,12-12,Anderlecht,1840.4,1502.8,2026-05-20T21:13:26Z,10,BEL
2009,110,Watford,Championship,1502.7,16,20,36,0.444,16-20,Preston,1618.7,1503,2026-05-20T21:13:26Z,10,ENG
2009,111,Dijon,Ligue 2,1501.4,14,14,28,0.5,14-14,Montpellier,1652.2,1511.9,2026-05-20T21:13:26Z,10,FRA
2009,112,Feyenoord,Eredivisie,1497.4,12,13,25,0.48,12-13,Twente,1784.2,1469.6,2026-05-20T21:13:26Z,9,NED
2009,113,Triestina,Serie B,1497.4,16,15,31,0.516,16-15,Livorno,1672.7,1499.1,2026-05-20T21:13:26Z,11,ITA
2009,114,Piacenza,Serie B,1496.2,14,15,29,0.483,14-15,Brescia,1576.4,1466.9,2026-05-20T21:13:26Z,13,ITA
2009,115,Cagliari,Serie A,1494.1,15,15,30,0.5,15-15,Inter,1837.6,1501.6,2026-05-20T21:13:26Z,8,ITA
2009,116,Elche,La Liga 2,1493.8,13,15,28,0.464,13-15,Zaragoza,1752.6,1496.2,2026-05-20T21:13:26Z,14,ESP
2009,117,Gaziantepspor,Süper Lig,1493,12,11,23,0.522,12-11,Sivasspor,1703,1514.8,2026-05-20T21:13:26Z,11,TUR
2009,118,Clermont,Ligue 2,1492.7,12,15,27,0.444,12-15,Montpellier,1652.2,1508.8,2026-05-20T21:13:26Z,11,FRA
2009,119,Albinoleffe,Serie B,1492.2,15,14,29,0.517,15-14,Parma,1841.7,1517.1,2026-05-20T21:13:26Z,13,ITA
2009,120,Man City,Premier League,1491.9,15,18,33,0.455,15-18,Arsenal,1714,1499.2,2026-05-20T21:13:26Z,5,ENG
2009,121,Grosseto,Serie B,1490.4,18,14,32,0.562,18-14,Parma,1841.7,1493.2,2026-05-20T21:13:26Z,10,ITA
2009,122,Lorient,Ligue 1,1489.8,10,13,23,0.435,10-13,Marseille,1760.5,1524.9,2026-05-20T21:13:26Z,15,FRA
2009,123,Modena,Serie B,1487.7,13,17,30,0.433,13-17,Livorno,1672.7,1486.4,2026-05-20T21:13:26Z,12,ITA
2009,124,Tottenham,Premier League,1486.9,14,15,29,0.483,14-15,Liverpool,2020,1470.5,2026-05-20T21:13:26Z,9,ENG
2009,125,Bristol City,Championship,1486.3,15,15,30,0.5,15-15,Reading,1670.7,1491.9,2026-05-20T21:13:26Z,16,ENG
2009,126,Vitesse,Eredivisie,1484.2,11,13,24,0.458,11-13,AZ Alkmaar,1838.6,1505.9,2026-05-20T21:13:26Z,10,NED
2009,127,Hibernian,Scottish Premiership,1484.1,11,13,24,0.458,11-13,Celtic,1831.7,1537.3,2026-05-20T21:13:26Z,14,SCO
2009,128,Utrecht,Eredivisie,1483.3,11,12,23,0.478,11-12,Twente,1784.2,1529.8,2026-05-20T21:13:26Z,11,NED
2009,129,Mantova,Serie B,1482,12,14,26,0.462,12-14,Sassuolo,1517.3,1519.7,2026-05-20T21:13:26Z,16,ITA
2009,130,QPR,Championship,1481,15,15,30,0.5,15-15,Birmingham,1678.4,1512.3,2026-05-20T21:13:26Z,16,ENG
2009,131,Malaga,La Liga,1480.2,15,13,28,0.536,15-13,Sevilla,1643.8,1489.6,2026-05-20T21:13:26Z,10,ESP
