season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,updated_at
2015,304,AK-Anchorage,NA,1221.1,1,2,3,0.333,1-2,Rice,1305,1426.5,2026-05-20T21:30:45Z
2015,305,Abilene Chrstn,NA,1211.2,10,21,31,0.323,10-21,Sacramento St,1451.9,1337,2026-05-20T21:30:45Z
2015,306,Samford,NA,1209.3,13,19,32,0.406,13-19,ETSU,1535.5,1381.3,2026-05-20T21:30:45Z
2015,307,J'Ville St,NA,1209,12,19,31,0.387,12-19,E Kentucky,1658.1,1350.5,2026-05-20T21:30:45Z
2015,308,New Orleans,NA,1199.3,11,18,29,0.379,11-18,S Illinois,1393.5,1308.3,2026-05-20T21:30:45Z
2015,309,South Alabama,NA,1183.9,12,21,33,0.364,12-21,UT Arlington,1537.6,1436.7,2026-05-20T21:30:45Z
2015,310,Fair Dickinson,NA,1183.1,8,21,29,0.276,8-21,Saint Joseph's,1593.9,1412.5,2026-05-20T21:30:45Z
2015,311,Hou Christian,NA,1182.6,12,16,28,0.429,12-16,Incarnate Word,1514.1,1270,2026-05-20T21:30:45Z
2015,312,Troy,NA,1177.5,10,19,29,0.345,10-19,Georgia So,1650.8,1349.7,2026-05-20T21:30:45Z
2015,313,The Citadel,NA,1175.7,11,19,30,0.367,11-19,Wofford,1844.3,1341.4,2026-05-20T21:30:45Z
2015,314,Delaware,NA,1175.1,10,20,30,0.333,10-20,St Bonaventure,1746.8,1532,2026-05-20T21:30:45Z
2015,315,Furman,NA,1174.2,11,22,33,0.333,11-22,Chattanooga,1666.7,1446,2026-05-20T21:30:45Z
2015,316,North Dakota,NA,1166.2,8,22,30,0.267,8-22,Idaho,1384.5,1379.2,2026-05-20T21:30:45Z
2015,317,Austin Peay,NA,1165,8,22,30,0.267,8-22,North Florida,1537.6,1396.4,2026-05-20T21:30:45Z
2015,318,Chaminade,NA,1160.6,0,4,4,0,0-4,NA,NA,1792.8,2026-05-20T21:30:45Z
2015,319,Montana St,NA,1158.1,7,23,30,0.233,7-23,UT Arlington,1537.6,1446.2,2026-05-20T21:30:45Z
2015,320,AR-Pine Bluff,NA,1153.7,12,20,32,0.375,12-20,Texas Southern,1513.7,1295.2,2026-05-20T21:30:45Z
2015,321,UNC Greensboro,NA,1146.6,11,22,33,0.333,11-22,ETSU,1535.5,1376.9,2026-05-20T21:30:45Z
2015,322,Kennesaw St,NA,1139.8,10,22,32,0.312,10-22,Chattanooga,1666.7,1358.4,2026-05-20T21:30:45Z
2015,323,UT Rio Grande,NA,1138.4,10,21,31,0.323,10-21,UTSA,1496.3,1332.9,2026-05-20T21:30:45Z
2015,324,Jackson St,NA,1128.3,11,21,32,0.344,11-21,Southern,1266.8,1263.2,2026-05-20T21:30:45Z
2015,325,Prairie View,NA,1123.7,15,18,33,0.455,15-18,Texas Southern,1513.7,1282.9,2026-05-20T21:30:45Z
2015,326,Longwood,NA,1122.8,11,23,34,0.324,11-23,Radford,1569.2,1345.6,2026-05-20T21:30:45Z
2015,327,Nicholls,NA,1111.4,10,19,29,0.345,10-19,McNeese,1363.7,1341.3,2026-05-20T21:30:45Z
2015,328,Southern Utah,NA,1111,10,19,29,0.345,10-19,UTSA,1496.3,1392,2026-05-20T21:30:45Z
2015,329,Idaho St,NA,1109.4,7,23,30,0.233,7-23,N Arizona,1446.3,1344.9,2026-05-20T21:30:45Z
2015,330,Presbyterian,NA,1102.9,10,22,32,0.312,10-22,Coast Car,1605,1363.2,2026-05-20T21:30:45Z
2015,331,Liberty,NA,1098.8,8,24,32,0.25,8-24,Radford,1569.2,1276.3,2026-05-20T21:30:45Z
