season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,updated_at,draws,country
2020,238,Niort,Ligue 2,1330.1,6,14,20,0.3,6-14,Valenciennes,1576.3,1495.2,2026-05-21T19:19:50Z,8,FRA
2020,239,Bournemouth,Premier League,1327,9,22,31,0.29,9-22,Man United,1702.9,1519.8,2026-05-21T19:19:50Z,7,ENG
2020,240,Alaves,La Liga,1325.5,10,19,29,0.345,10-19,Sociedad,1504.4,1516.7,2026-05-21T19:19:50Z,9,ESP
2020,241,Birmingham,Championship,1323.9,12,20,32,0.375,12-20,Brentford,1706.6,1515.5,2026-05-21T19:19:50Z,14,ENG
2020,242,Werder Bremen,2. Bundesliga,1323.5,8,19,27,0.296,8-19,Wolfsburg,1556,1498.7,2026-05-21T19:19:50Z,7,GER
2020,243,Cercle Brugge,Pro League,1319.8,7,20,27,0.259,7-20,Gent,1701.4,1537.2,2026-05-21T19:19:50Z,2,BEL
2020,244,Ankaragucu,Süper Lig,1315.6,7,16,23,0.304,7-16,Galatasaray,1599.1,1517,2026-05-21T19:19:50Z,11,TUR
2020,245,Belenenses,Primeira Liga,1311.8,9,17,26,0.346,9-17,Gil Vicente,1453.1,1493.7,2026-05-21T19:19:50Z,8,POR
2020,246,VVV Venlo,Eredivisie,1308.8,8,14,22,0.364,8-14,Utrecht,1617.2,1492.5,2026-05-21T19:19:50Z,4,NED
2020,247,Eupen,Pro League,1307.4,8,15,23,0.348,8-15,Genk,1487.8,1470.4,2026-05-21T19:19:50Z,6,BEL
2020,248,Hull,Championship,1303.1,12,25,37,0.324,12-25,Fulham,1629.7,1508.6,2026-05-21T19:19:50Z,9,ENG
2020,249,Lecce,Serie A,1289.3,9,21,30,0.3,9-21,Lazio,1704.9,1495.3,2026-05-21T19:19:50Z,8,ITA
2020,250,Fortuna Dusseldorf,2. Bundesliga,1284.9,6,16,22,0.273,6-16,Freiburg,1480.5,1533.3,2026-05-21T19:19:50Z,12,GER
2020,251,Hearts,Scottish Premiership,1284.7,4,15,19,0.211,4-15,Rangers,1839.5,1557.7,2026-05-21T19:19:50Z,11,SCO
2020,252,Santander,La Liga 2,1282.5,5,19,24,0.208,5-19,Huesca,1593.3,1515.8,2026-05-21T19:19:50Z,18,ESP
2020,253,Orleans,Ligue 2,1248.9,4,17,21,0.19,4-17,Le Havre,1624.4,1526.2,2026-05-21T19:19:50Z,7,FRA
2020,254,Den Haag,Eredivisie,1242.1,4,15,19,0.211,4-15,Vitesse,1525.5,1541.2,2026-05-21T19:19:50Z,7,NED
2020,255,Amiens,Ligue 1,1233.2,4,13,17,0.235,4-13,Marseille,1706.6,1517.6,2026-05-21T19:19:50Z,11,FRA
2020,256,Oostende,Pro League,1209.9,6,19,25,0.24,6-19,Gent,1701.4,1533.3,2026-05-21T19:19:50Z,4,BEL
2020,257,Waasland-Beveren,Pro League,1205.7,5,19,24,0.208,5-19,Standard,1562.6,1535.3,2026-05-21T19:19:50Z,5,BEL
2020,258,Waalwijk,Eredivisie,1193.3,4,19,23,0.174,4-19,Utrecht,1617.2,1522.8,2026-05-21T19:19:50Z,3,NED
2020,259,Brescia,Serie A,1172.7,6,25,31,0.194,6-25,Cagliari,1465.2,1529.7,2026-05-21T19:19:50Z,7,ITA
2020,260,Espanol,La Liga,1162.4,5,23,28,0.179,5-23,Villarreal,1570.9,1513.5,2026-05-21T19:19:50Z,10,ESP
2020,261,Livorno,Serie B,1157.7,5,27,32,0.156,5-27,Chievo,1596.9,1520.1,2026-05-21T19:19:50Z,6,ITA
2020,262,Aves,Primeira Liga,1145.5,5,27,32,0.156,5-27,Sp Braga,1659.1,1506.5,2026-05-21T19:19:50Z,2,POR
2020,263,Paderborn,2. Bundesliga,1144.6,4,22,26,0.154,4-22,Ein Frankfurt,1513.9,1525.7,2026-05-21T19:19:50Z,8,GER
2020,264,Norwich,Premier League,1128.6,5,27,32,0.156,5-27,Man City,1790,1526.7,2026-05-21T19:19:50Z,6,ENG
2020,265,Toulouse,Ligue 1,1118.9,3,21,24,0.125,3-21,Lille,1620.9,1544.4,2026-05-21T19:19:50Z,4,FRA
2020,266,Spal,Serie A,1080.9,5,28,33,0.152,5-28,Atalanta,1802,1524.1,2026-05-21T19:19:50Z,5,ITA
