season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at,draws,country,baseline_elo,baseline_date,elo_change
2027,176,Maritimo,Primeira Liga,1378.3,2,3,5,0.4,2-3,Famalicao,1463.8,1505.4,NA,2026-09-22T11:22:20Z,2,POR,1312.4,2026-09-17,65.9
2027,177,Bolton,Championship,1375,3,4,7,0.429,3-4,Norwich,1422.7,1451.3,NA,2026-09-22T11:22:20Z,1,ENG,1303.3,2026-09-17,71.7
2027,178,Newcastle,Premier League,1372.7,2,1,3,0.667,2-1,Hull,1552.3,1297.7,NA,2026-09-22T11:22:20Z,2,ENG,709.7,2026-09-17,663
2027,179,Hibernian,Scottish Premiership,1372.1,2,4,6,0.333,2-4,Rangers,1723.6,1507.2,NA,2026-09-22T11:22:20Z,1,SCO,1468.8,2026-09-17,-96.7
2027,180,Erzurumspor,Süper Lig,1371.7,2,3,5,0.4,2-3,Konyaspor,1336.1,1532.5,NA,2026-09-22T11:22:20Z,1,TUR,1328.7,2026-09-17,43
2027,181,Elche,La Liga,1371,1,4,5,0.2,1-4,Espanol,1389.9,1559.7,NA,2026-09-22T11:22:20Z,2,ESP,1263.8,2026-09-17,107.2
2027,182,Parma,Serie A,1370.1,1,3,4,0.25,1-3,Genoa,1203.9,1532.9,NA,2026-09-22T11:22:20Z,1,ITA,1500,2026-09-20,-129.9
2027,183,Utrecht,Eredivisie,1368.6,1,4,5,0.2,1-4,Excelsior,1558.5,1725.6,NA,2026-09-22T11:22:20Z,2,NED,1412.9,2026-09-17,-44.3
2027,184,Cardiff,Championship,1366.1,1,3,4,0.25,1-3,Charlton,1404.3,1462.1,NA,2026-09-22T11:22:20Z,4,ENG,1224.3,2026-09-18,141.8
2027,185,Auxerre,Ligue 1,1365.6,2,3,5,0.4,2-3,Nice,1418.5,1500.8,NA,2026-09-22T11:22:20Z,0,FRA,1059,2026-09-17,306.6
2027,186,Juve Stabia,Serie B,1363.8,1,2,3,0.333,1-2,Sampdoria,1350.9,1508,NA,2026-09-22T11:22:20Z,2,ITA,1348.1,2026-09-17,15.7
2027,187,Antwerp,Pro League,1362.7,2,4,6,0.333,2-4,Beveren,1392.8,1538.4,NA,2026-09-22T11:22:20Z,1,BEL,1389.5,2026-09-17,-26.8
2027,188,Getafe,La Liga,1360.4,2,3,5,0.4,2-3,Santander,1314.5,1401.6,NA,2026-09-22T11:22:20Z,2,ESP,1392.5,2026-09-17,-32.1
2027,189,Monza,Serie A,1359.1,1,3,4,0.25,1-3,Sassuolo,1479.9,1526.3,NA,2026-09-22T11:22:20Z,1,ITA,1500,2026-09-20,-140.9
2027,190,Chelsea,Premier League,1353.7,2,2,4,0.5,2-2,Brighton,1729.7,1470.5,NA,2026-09-22T11:22:20Z,1,ENG,1594.8,2026-09-17,-241.1
2027,191,Rodez,Ligue 2,1353.1,2,4,6,0.333,2-4,Nantes,1264.9,1416.9,NA,2026-09-22T11:22:20Z,1,FRA,1392.4,2026-09-17,-39.3
2027,192,Cambuur,Eredivisie,1352.7,1,4,5,0.2,1-4,Nijmegen,1338.5,1598.3,NA,2026-09-22T11:22:20Z,2,NED,1343.6,2026-09-17,9.1
2027,193,Sampdoria,Serie B,1350.9,1,3,4,0.25,1-3,Catanzaro,1270.8,1520.7,NA,2026-09-22T11:22:20Z,1,ITA,1276.1,2026-09-17,74.8
2027,194,Vicenza,Serie B,1349.6,1,2,3,0.333,1-2,Catanzaro,1270.8,1442,NA,2026-09-22T11:22:20Z,2,ITA,908.9,2026-09-17,440.7
2027,195,Guimaraes,Primeira Liga,1349.5,1,4,5,0.2,1-4,Nacional,1199.7,1558.7,NA,2026-09-22T11:22:20Z,2,POR,1337.2,2026-09-17,12.3
2027,196,Osasuna,La Liga,1348.7,2,3,5,0.4,2-3,Celta,1460.6,1499.4,NA,2026-09-22T11:22:20Z,2,ESP,1382.2,2026-09-18,-33.5
2027,197,Nijmegen,Eredivisie,1338.5,2,3,5,0.4,2-3,Zwolle,1286.7,1375.8,NA,2026-09-22T11:22:20Z,2,NED,1349.7,2026-09-17,-11.2
2027,198,Konyaspor,Süper Lig,1336.1,1,4,5,0.2,1-4,Trabzonspor,1686.2,1546.1,NA,2026-09-22T11:22:20Z,1,TUR,1308.6,2026-09-17,27.5
2027,199,Sparta Rotterdam,Eredivisie,1332.9,1,4,5,0.2,1-4,Telstar,1295.9,1608.1,NA,2026-09-22T11:22:20Z,2,NED,1447.8,2026-09-17,-114.9
2027,200,Fiorentina,Serie A,1331.9,1,3,4,0.25,1-3,Venezia,1144.5,1506.1,NA,2026-09-22T11:22:20Z,1,ITA,1500,2026-09-20,-168.1
2027,201,Derby,Championship,1331.6,1,5,6,0.167,1-5,Portsmouth,1420.4,1571.2,NA,2026-09-22T11:22:20Z,2,ENG,1338.8,2026-09-17,-7.2
2027,202,Hoffenheim,2. Bundesliga,1331.1,1,3,4,0.25,1-3,Stuttgart,1405.7,1482.5,NA,2026-09-22T11:22:20Z,0,GER,1500,2026-09-20,-168.9
2027,203,Brentford,Premier League,1327.9,2,0,2,1,2-0,Chelsea,1353.7,1217.4,NA,2026-09-22T11:22:20Z,3,ENG,584.1,2026-09-17,743.8
2027,204,Valencia,La Liga,1326,1,5,6,0.167,1-5,Alaves,1545.2,1634.5,NA,2026-09-22T11:22:20Z,1,ESP,1114.3,2026-09-18,211.7
2027,205,Coventry,Premier League,1317.8,1,4,5,0.2,1-4,Nott'm Forest,1310.1,1589.8,NA,2026-09-22T11:22:20Z,0,ENG,1151,2026-09-17,166.8
2027,206,Valladolid,La Liga 2,1317.6,1,3,4,0.25,1-3,Andorra,1232.7,1530.2,NA,2026-09-22T11:22:20Z,2,ESP,1335.9,2026-09-17,-18.3
2027,207,Sunderland,Premier League,1317,1,3,4,0.25,1-3,Fulham,1204.5,1431.4,NA,2026-09-22T11:22:20Z,1,ENG,1383.1,2026-09-17,-66.1
2027,208,Santander,La Liga,1314.5,2,4,6,0.333,2-4,Alaves,1545.2,1523,NA,2026-09-22T11:22:20Z,1,ESP,1468.7,2026-09-17,-154.2
2027,209,Cadiz,La Liga 2,1314.2,0,3,3,0,0-3,NA,NA,1584.9,NA,2026-09-22T11:22:20Z,3,ESP,735.5,2026-09-17,578.7
2027,210,Lorient,Ligue 1,1312,1,2,3,0.333,1-2,Lens,1408.3,1199.6,NA,2026-09-22T11:22:20Z,2,FRA,921.8,2026-09-17,390.2
2027,211,Nott'm Forest,Premier League,1310.1,1,2,3,0.333,1-2,Aston Villa,1309.5,1295.7,NA,2026-09-22T11:22:20Z,2,ENG,851,2026-09-17,459.1
2027,212,Aston Villa,Premier League,1309.5,1,3,4,0.25,1-3,Tottenham,1081.1,1435.2,NA,2026-09-22T11:22:20Z,1,ENG,1172.2,2026-09-17,137.3
2027,213,Cercle Brugge,Pro League,1306.1,0,4,4,0,0-4,NA,NA,1737.6,NA,2026-09-22T11:22:20Z,3,BEL,1318.8,2026-09-17,-12.7
2027,214,Bologna,Serie A,1301.7,0,3,3,0,0-3,NA,NA,1553.6,NA,2026-09-22T11:22:20Z,2,ITA,1500,2026-09-20,-198.3
2027,215,Telstar,Eredivisie,1295.9,1,4,5,0.2,1-4,Nijmegen,1338.5,1600.8,NA,2026-09-22T11:22:20Z,2,NED,1320.9,2026-09-17,-25
2027,216,FC Koln,2. Bundesliga,1289.4,1,2,3,0.333,1-2,Hoffenheim,1331.1,1326.5,NA,2026-09-22T11:22:20Z,1,GER,1500,2026-09-20,-210.6
2027,217,Zwolle,Eredivisie,1286.7,1,5,6,0.167,1-5,Heerenveen,1522.5,1614.3,NA,2026-09-22T11:22:20Z,1,NED,1316.4,2026-09-17,-29.7
2027,218,Genclerbirligi,Süper Lig,1286,2,3,5,0.4,2-3,Fenerbahce,1572.9,1426.8,NA,2026-09-22T11:22:20Z,1,TUR,1342.1,2026-09-17,-56.1
2027,219,Le Havre,Ligue 1,1285.2,0,3,3,0,0-3,NA,NA,1527.5,NA,2026-09-22T11:22:20Z,2,FRA,657.4,2026-09-17,627.8
2027,220,Samsunspor,Süper Lig,1284.9,1,4,5,0.2,1-4,Rizespor,1464.8,1494.2,NA,2026-09-22T11:22:20Z,1,TUR,1337.9,2026-09-17,-53
2027,221,Rio Ave,Primeira Liga,1282.1,1,5,6,0.167,1-5,Estoril,1080,1589.3,NA,2026-09-22T11:22:20Z,1,POR,1324.3,2026-09-17,-42.2
2027,222,Oud-Heverlee Leuven,Pro League,1276.8,1,5,6,0.167,1-5,RAAL La Louviere,1209.2,1579.5,NA,2026-09-22T11:22:20Z,1,BEL,1186.6,2026-09-17,90.2
2027,223,Catanzaro,Serie B,1270.8,1,4,5,0.2,1-4,Carrarese,1225.7,1417.6,NA,2026-09-22T11:22:20Z,0,ITA,1137.5,2026-09-17,133.3
2027,224,Nantes,Ligue 2,1264.9,2,4,6,0.333,2-4,Nancy,1521.9,1332.1,NA,2026-09-22T11:22:20Z,1,FRA,1260.4,2026-09-17,4.5
2027,225,Troyes,Ligue 1,1264.2,1,3,4,0.25,1-3,Lorient,1312,1471.8,NA,2026-09-22T11:22:20Z,1,FRA,1278.8,2026-09-17,-14.6
2027,226,Leeds,Premier League,1259.8,2,0,2,1,2-0,Newcastle,1372.7,1341.4,NA,2026-09-22T11:22:20Z,3,ENG,961.2,2026-09-17,298.6
2027,227,Kilmarnock,Scottish Premiership,1252.1,1,4,5,0.2,1-4,Hibernian,1372.1,1493.7,NA,2026-09-22T11:22:20Z,2,SCO,1155.3,2026-09-17,96.8
2027,228,Hamburg,2. Bundesliga,1242.7,1,3,4,0.25,1-3,FC Koln,1289.4,1487.5,NA,2026-09-22T11:22:20Z,0,GER,1500,2026-09-20,-257.3
2027,229,Goztep,Süper Lig,1241.3,0,3,3,0,0-3,NA,NA,1451.8,NA,2026-09-22T11:22:20Z,3,TUR,1273.6,2026-09-17,-32.3
2027,230,Andorra,La Liga 2,1232.7,1,5,6,0.167,1-5,Ceuta,1070.3,1433.4,NA,2026-09-22T11:22:20Z,0,ESP,1287.7,2026-09-17,-55
2027,231,Carrarese,Serie B,1225.7,0,4,4,0,0-4,NA,NA,1487.5,NA,2026-09-22T11:22:20Z,1,ITA,1247.8,2026-09-17,-22.1
2027,232,Casa Pia,Primeira Liga,1223,1,5,6,0.167,1-5,Estoril,1080,1518.9,NA,2026-09-22T11:22:20Z,1,POR,1165.2,2026-09-17,57.8
2027,233,Preston,Championship,1222.3,1,6,7,0.143,1-6,Blackburn,1478.8,1469.9,NA,2026-09-22T11:22:20Z,1,ENG,1223.6,2026-09-17,-1.3
2027,234,Laval,Ligue 2,1219.5,1,4,5,0.2,1-4,Nantes,1264.9,1435.2,NA,2026-09-22T11:22:20Z,2,FRA,1217.7,2026-09-17,1.8
2027,235,Mechelen,Pro League,1212.4,0,4,4,0,0-4,NA,NA,1681.9,NA,2026-09-22T11:22:20Z,3,BEL,1187,2026-09-17,25.4
2027,236,RAAL La Louviere,Pro League,1209.2,1,5,6,0.167,1-5,Kortrijk,1152.9,1464.3,NA,2026-09-22T11:22:20Z,1,BEL,1288.9,2026-09-17,-79.7
2027,237,Fulham,Premier League,1204.5,0,3,3,0,0-3,NA,NA,1282.1,NA,2026-09-22T11:22:20Z,2,ENG,1233.3,2026-09-17,-28.8
2027,238,Eyupspor,Süper Lig,1204,1,5,6,0.167,1-5,Alanyaspor,1610.9,1530.7,NA,2026-09-22T11:22:20Z,0,TUR,1289.6,2026-09-17,-85.6
2027,239,Genoa,Serie A,1203.9,0,4,4,0,0-4,NA,NA,1540.5,NA,2026-09-22T11:22:20Z,1,ITA,1500,2026-09-20,-296.1
2027,240,Albacete,La Liga 2,1202.3,0,5,5,0,0-5,NA,NA,1547.7,NA,2026-09-22T11:22:20Z,1,ESP,1262.3,2026-09-17,-60
2027,241,M'gladbach,2. Bundesliga,1201.3,0,4,4,0,0-4,NA,NA,1566.5,NA,2026-09-22T11:22:20Z,0,GER,1500,2026-09-20,-298.7
2027,242,Nacional,Primeira Liga,1199.7,1,5,6,0.167,1-5,Estoril,1080,1439.7,NA,2026-09-22T11:22:20Z,1,POR,1207.5,2026-09-17,-7.8
2027,243,Malaga,La Liga,1195.9,0,4,4,0,0-4,NA,NA,1567.5,NA,2026-09-22T11:22:20Z,3,ESP,726.6,2026-09-18,469.3
2027,244,Den Haag,Eredivisie,1195.2,0,5,5,0,0-5,NA,NA,1645.4,NA,2026-09-22T11:22:20Z,2,NED,1179,2026-09-17,16.2
2027,245,Burnley,Championship,1179.9,0,4,4,0,0-4,NA,NA,1538.9,NA,2026-09-22T11:22:20Z,4,ENG,1195.3,2026-09-17,-15.4
2027,246,Crystal Palace,Premier League,1175.6,1,3,4,0.25,1-3,Fulham,1204.5,1316.5,NA,2026-09-22T11:22:20Z,1,ENG,1146.4,2026-09-17,29.2
2027,247,Ipswich,Premier League,1164.3,2,3,5,0.4,2-3,Sunderland,1317,1232.4,NA,2026-09-22T11:22:20Z,0,ENG,1217.7,2026-09-17,-53.4
2027,248,Everton,Premier League,1160.5,2,0,2,1,2-0,Crystal Palace,1175.6,1169.9,NA,2026-09-22T11:22:20Z,3,ENG,654.9,2026-09-17,505.6
2027,249,Kortrijk,Pro League,1152.9,1,6,7,0.143,1-6,Beveren,1392.8,1525,NA,2026-09-22T11:22:20Z,0,BEL,1078.9,2026-09-17,74
2027,250,Venezia,Serie A,1144.5,0,5,5,0,0-5,NA,NA,1567.7,NA,2026-09-22T11:22:20Z,0,ITA,1500,2026-09-20,-355.5
2027,251,Willem II,Eredivisie,1120.2,0,5,5,0,0-5,NA,NA,1545.9,NA,2026-09-22T11:22:20Z,2,NED,1173,2026-09-17,-52.8
2027,252,Kasimpasa,Süper Lig,1106.5,2,0,2,1,2-0,Corum,1427.1,1356.6,NA,2026-09-22T11:22:20Z,4,TUR,1112.3,2026-09-17,-5.8
2027,253,Tottenham,Premier League,1081.1,0,3,3,0,0-3,NA,NA,1336.7,NA,2026-09-22T11:22:20Z,2,ENG,435.6,2026-09-17,645.5
2027,254,Estoril,Primeira Liga,1080,0,5,5,0,0-5,NA,NA,1408,NA,2026-09-22T11:22:20Z,2,POR,1144.5,2026-09-17,-64.5
2027,255,Ceuta,La Liga 2,1070.3,0,5,5,0,0-5,NA,NA,1474.3,NA,2026-09-22T11:22:20Z,1,ESP,1082.8,2026-09-17,-12.5
2027,256,Union Berlin,2. Bundesliga,1068.3,0,3,3,0,0-3,NA,NA,1455.6,NA,2026-09-22T11:22:20Z,1,GER,1500,2026-09-20,-431.7
2027,257,Liverpool,Premier League,1064.8,2,0,2,1,2-0,Ipswich,1164.3,930.1,NA,2026-09-22T11:22:20Z,3,ENG,655.8,2026-09-17,409
2027,258,Ein Frankfurt,2. Bundesliga,1025.1,1,1,2,0.5,1-1,Mainz,1423.7,1447.7,NA,2026-09-22T11:22:20Z,2,GER,1500,2026-09-20,-474.9
2027,259,Schalke 04,2. Bundesliga,991.2,1,1,2,0.5,1-1,Union Berlin,1068.3,1270,NA,2026-09-22T11:22:20Z,2,GER,1500,2026-09-20,-508.8
2027,260,Le Mans,Ligue 1,926.3,1,1,2,0.5,1-1,Lorient,1312,1430.2,NA,2026-09-22T11:22:20Z,3,FRA,372.1,2026-09-17,554.2
2027,261,Boulogne,Ligue 2,729.7,0,2,2,0,0-2,NA,NA,1328,NA,2026-09-22T11:22:20Z,5,FRA,371.9,2026-09-17,357.8
2027,262,Bournemouth,Premier League,695.9,0,2,2,0,0-2,NA,NA,1400.8,NA,2026-09-22T11:22:20Z,3,ENG,372.2,2026-09-17,323.7
2027,263,Cesena,Serie B,553.6,1,0,1,1,1-0,Virtus Entella,1465.5,1465.5,NA,2026-09-22T11:22:20Z,4,ITA,553.4,2026-09-17,0.2
2027,264,Clermont,Ligue 2,370.9,0,1,1,0,0-1,NA,NA,1755.5,NA,2026-09-22T11:22:20Z,6,FRA,370.9,2026-09-17,0
