date,home,away,winner,loser,winner_pts,loser_pts,end_type
2015-10-17,Florida Panthers,Dallas Stars,Dallas Stars,Florida Panthers,4,2,REG
2015-10-17,Pittsburgh Penguins,Toronto Maple Leafs,Pittsburgh Penguins,Toronto Maple Leafs,2,1,REG
2015-10-17,Washington Capitals,Carolina Hurricanes,Washington Capitals,Carolina Hurricanes,4,1,REG
2015-10-17,New York Islanders,San Jose Sharks,New York Islanders,San Jose Sharks,6,3,REG
2015-10-18,Chicago Blackhawks,Columbus Blue Jackets,Chicago Blackhawks,Columbus Blue Jackets,4,1,REG
2015-10-18,Calgary Flames,Edmonton Oilers,Edmonton Oilers,Calgary Flames,5,2,REG
2015-10-18,Arizona Coyotes,Boston Bruins,Boston Bruins,Arizona Coyotes,5,3,REG
2015-10-18,New York Rangers,New Jersey Devils,New Jersey Devils,New York Rangers,2,1,OT
2015-10-18,Winnipeg Jets,St. Louis Blues,St. Louis Blues,Winnipeg Jets,4,2,REG
2015-10-19,Anaheim Ducks,Minnesota Wild,Anaheim Ducks,Minnesota Wild,4,1,REG
2015-10-19,Vancouver Canucks,Edmonton Oilers,Edmonton Oilers,Vancouver Canucks,2,1,OT
2015-10-19,Los Angeles Kings,Colorado Avalanche,Los Angeles Kings,Colorado Avalanche,2,1,REG
2015-10-19,New York Rangers,San Jose Sharks,New York Rangers,San Jose Sharks,4,0,REG
2015-10-20,New Jersey Devils,Arizona Coyotes,New Jersey Devils,Arizona Coyotes,3,2,OT
2015-10-20,Pittsburgh Penguins,Florida Panthers,Pittsburgh Penguins,Florida Panthers,3,2,OT
2015-10-20,Columbus Blue Jackets,New York Islanders,New York Islanders,Columbus Blue Jackets,4,0,REG
2015-10-20,Philadelphia Flyers,Dallas Stars,Dallas Stars,Philadelphia Flyers,2,1,REG
2015-10-20,Montreal Canadiens,St. Louis Blues,Montreal Canadiens,St. Louis Blues,3,0,REG
2015-10-21,Nashville Predators,Tampa Bay Lightning,Nashville Predators,Tampa Bay Lightning,5,4,SO
