season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,updated_at
2025,190,Campbell,NA,1285.1,2,10,12,0.167,2-10,Duke,1883,1740.9,2026-05-21T03:41:59Z
2025,191,Evansville,NA,1282.2,3,6,9,0.333,3-6,Missouri,1499.5,1544.6,2026-05-21T03:41:59Z
2025,192,Sam Houston,C-USA,1281.5,2,12,14,0.143,2-12,Houston,1601.6,1780.1,2026-05-21T03:41:59Z
2025,193,Ohio State,Big Ten,1275.3,13,37,50,0.26,13-37,Oregon,1832.2,1571.4,2026-05-21T03:41:59Z
2025,194,Quinnipiac,NA,1272.7,3,5,8,0.375,3-5,Marist,1191.7,1398.2,2026-05-21T03:41:59Z
2025,195,Oakland,NA,1271.5,2,5,7,0.286,2-5,Youngstown St,1110.1,1423.8,2026-05-21T03:41:59Z
2025,196,The Citadel,NA,1267.3,3,8,11,0.273,3-8,Northwestern,1471.4,1574.9,2026-05-21T03:41:59Z
2025,197,Grambling,NA,1265.3,3,7,10,0.3,3-7,Florida A&M,1325.5,1492.4,2026-05-21T03:41:59Z
2025,198,E Kentucky,NA,1261.1,0,6,6,0,0-6,NA,NA,1949.2,2026-05-21T03:41:59Z
2025,199,Bakersfield,NA,1253.4,0,5,5,0,0-5,NA,NA,1698.1,2026-05-21T03:41:59Z
2025,200,Texas A&M-CC,NA,1249.3,2,10,12,0.167,2-10,UCLA,1862.9,1683.2,2026-05-21T03:41:59Z
2025,201,Gardner-Webb,NA,1248.1,0,6,6,0,0-6,NA,NA,1800.3,2026-05-21T03:41:59Z
2025,202,St Bonaventure,NA,1244.1,0,5,5,0,0-5,NA,NA,1857.1,2026-05-21T03:41:59Z
2025,203,Morehead St,NA,1241.3,0,5,5,0,0-5,NA,NA,1714.3,2026-05-21T03:41:59Z
2025,204,Elon,NA,1233.5,1,8,9,0.111,1-8,William & Mary,1021.4,1673.4,2026-05-21T03:41:59Z
2025,205,James Madison,Sun Belt,1233.1,1,15,16,0.062,1-15,Troy,1637.5,1774.4,2026-05-21T03:41:59Z
